Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/27/2010,22-227,GSW,,HOU,W (+4),1,39:04:00,9,16,0.563,3,6,0.5,4,4,1,1,1,2,11,0,1,5,4,25,20.2,4
2,2,10/29/2010,22-229,GSW,,LAC,W (+18),1,26:53:00,7,9,0.778,1,3,0.333,1,3,0.333,0,2,2,6,2,0,2,2,16,15.7,17
3,3,11/5/2010,22-236,GSW,,UTA,W (+7),1,32:59:00,7,17,0.412,1,4,0.25,5,5,1,0,1,1,6,2,0,5,5,20,10.4,8
4,4,11/7/2010,22-238,GSW,@,DET,L (-5),1,28:59:00,3,12,0.25,0,3,0,4,4,1,1,3,4,6,2,0,2,4,10,7,-3
5,5,11/8/2010,22-239,GSW,@,TOR,W (+7),1,36:27:00,12,21,0.571,2,4,0.5,8,8,1,2,3,5,4,3,0,5,2,34,26.4,13
6,6,11/10/2010,22-241,GSW,@,NYK,W (+5),1,45:03:00,11,20,0.55,1,1,1,2,3,0.667,0,6,6,8,2,1,2,4,25,21.5,6
7,7,11/11/2010,22-242,GSW,@,CHI,L (-30),1,30:58:00,7,18,0.389,2,5,0.4,1,2,0.5,0,3,3,6,5,0,5,2,17,11.1,-13
8,8,11/13/2010,22-244,GSW,@,MIL,L (-7),1,30:02:00,3,14,0.214,0,3,0,1,2,0.5,1,1,2,4,3,1,2,5,7,1.5,-12
9,9,11/15/2010,22-246,GSW,,DET,W (+4),1,29:30:00,7,14,0.5,2,3,0.667,5,5,1,0,5,5,4,2,0,3,6,21,14.9,15
10,10,11/19/2010,22-250,GSW,,NYK,L (-6),1,42:12:00,9,21,0.429,3,6,0.5,8,9,0.889,0,5,5,8,1,0,4,4,29,20,-3
11,11,11/21/2010,22-252,GSW,@,LAL,L (-28),1,24:09:00,5,10,0.5,1,3,0.333,2,2,1,0,3,3,2,1,2,0,3,13,11.5,-26
12,12,11/22/2010,22-253,GSW,,DEN,L (-17),1,40:36:00,8,21,0.381,1,6,0.167,0,0,,1,6,7,5,3,0,2,3,17,11.3,-19
13,13,11/24/2010,22-255,GSW,@,HOU,L (-10),1,35:33:00,8,19,0.421,0,2,0,5,5,1,0,4,4,6,4,0,1,6,21,16.9,-11
14,14,11/26/2010,22-257,GSW,@,MEM,L (-5),1,30:18:00,8,13,0.615,4,5,0.8,6,6,1,0,2,2,4,1,0,3,5,26,19.5,-1
15,15,11/27/2010,22-258,GSW,@,MIN,W (+10),1,27:33:00,6,10,0.6,2,3,0.667,6,7,0.857,0,3,3,7,3,0,1,5,20,20.8,16
16,16,11/30/2010,22-261,GSW,,SAS,L (-20),1,40:06:00,13,22,0.591,3,6,0.5,3,3,1,1,2,3,5,1,1,5,2,32,22.5,-14
17,17,12/2/2010,22-263,GSW,,PHO,L (-6),1,34:09:00,4,10,0.4,1,3,0.333,0,0,,1,0,1,7,4,0,4,4,9,7.6,-6
18,18,12/5/2010,22-266,GSW,@,OKC,L (-5),1,45:51:00,14,20,0.7,4,7,0.571,7,7,1,0,1,1,6,2,1,5,5,39,30.8,-9
19,19,12/7/2010,22-268,GSW,@,DAL,L (-5),1,41:33:00,8,16,0.5,3,5,0.6,2,2,1,1,5,6,4,2,0,6,2,21,13.2,-2
20,20,12/8/2010,22-269,GSW,@,SAS,L (-17),1,10:51,0,2,0,0,0,,0,0,,0,1,1,3,0,0,2,2,0,-1.8,-15
21,21,12/25/2010,22-286,GSW,,POR,W (+7),1,29:18:00,2,15,0.133,0,5,0,0,0,,1,3,4,11,0,0,2,2,4,0.8,7
22,22,12/27/2010,22-288,GSW,,PHI,W (+15),1,28:20:00,5,13,0.385,4,6,0.667,3,3,1,0,5,5,8,1,0,2,5,17,14,18
23,23,12/29/2010,22-290,GSW,@,ATL,L (-10),1,28:58:00,4,13,0.308,0,3,0,1,1,1,1,4,5,12,0,0,3,2,9,8,-1
24,24,12/31/2010,22-292,GSW,@,CHA,W (+1),1,36:06:00,10,17,0.588,4,5,0.8,0,0,,0,1,1,3,1,0,3,3,24,15.3,6
25,25,1/1/2011,22-293,GSW,@,MIA,L (-7),1,35:51:00,7,12,0.583,1,2,0.5,0,0,,1,1,2,6,3,0,1,5,15,14.6,-12
26,26,1/3/2011,22-295,GSW,@,ORL,L (-20),1,35:00:00,5,13,0.385,3,6,0.5,2,2,1,0,6,6,5,2,0,5,3,15,9,-13
27,27,1/5/2011,22-297,GSW,@,NOH,W (+7),1,39:54:00,6,11,0.545,1,3,0.333,8,8,1,1,2,3,5,4,0,2,3,21,21.3,8
28,28,1/7/2011,22-299,GSW,,CLE,W (+18),1,24:30:00,4,7,0.571,3,4,0.75,4,4,1,0,2,2,4,2,1,0,2,15,17,15
29,29,1/9/2011,22-301,GSW,@,LAC,L (-14),1,25:58:00,2,13,0.154,0,6,0,4,5,0.8,0,5,5,4,1,0,2,4,8,1,-13
30,30,1/12/2011,22-304,GSW,,LAL,L (-5),1,37:51:00,5,12,0.417,1,6,0.167,4,4,1,1,3,4,10,2,0,3,3,15,15,2
31,31,1/14/2011,22-306,GSW,,LAC,W (+10),1,27:09:00,7,15,0.467,5,7,0.714,4,4,1,1,3,4,4,1,0,2,2,23,17.9,9
32,32,1/17/2011,22-309,GSW,,NJN,W (+9),1,23:04,4,10,0.4,2,5,0.4,3,4,0.75,0,2,2,6,0,1,2,4,13,9.1,11
33,33,1/19/2011,22-311,GSW,,IND,W (+2),1,32:36:00,4,10,0.4,0,3,0,3,3,1,0,4,4,8,2,0,1,1,11,13,17
34,34,1/21/2011,22-313,GSW,,SAC,W (+7),1,44:10:00,12,21,0.571,3,7,0.429,7,7,1,1,2,3,3,4,0,4,2,34,26.7,7
35,35,1/22/2011,22-314,GSW,@,LAC,L (-4),1,40:50:00,12,23,0.522,3,9,0.333,5,5,1,2,4,6,8,1,1,2,5,32,26.6,9
36,36,1/24/2011,22-316,GSW,,SAS,L (-11),1,36:02:00,6,15,0.4,2,5,0.4,0,0,,1,5,6,5,0,1,4,4,14,6.7,-4
37,37,1/26/2011,22-318,GSW,,NOH,L (-9),1,39:15:00,8,13,0.615,1,3,0.333,3,3,1,0,3,3,6,2,0,5,1,20,15.8,-4
38,38,1/28/2011,22-320,GSW,,CHA,L (-8),1,43:13:00,8,12,0.667,4,5,0.8,7,7,1,0,3,3,5,2,0,3,5,27,23.2,-3
39,39,1/30/2011,22-322,GSW,,UTA,W (+15),1,34:33:00,10,18,0.556,3,8,0.375,4,4,1,1,5,6,7,2,1,2,2,27,25.4,13
40,40,2/3/2011,22-326,GSW,,MIL,W (+6),1,33:30:00,6,11,0.545,2,4,0.5,2,2,1,1,4,5,5,1,1,7,2,16,10,4
41,41,2/5/2011,22-328,GSW,,CHI,W (+11),1,44:17:00,9,15,0.6,2,4,0.5,3,3,1,1,5,6,8,1,0,2,1,23,22.5,14
42,42,2/7/2011,22-330,GSW,,PHO,L (-12),1,44:17:00,7,17,0.412,0,6,0,1,1,1,0,2,2,8,1,0,5,1,15,7.7,-12
43,43,2/9/2011,22-332,GSW,,DEN,W (+2),1,29:19:00,5,9,0.556,1,3,0.333,2,2,1,0,1,1,2,0,0,3,4,13,5.8,-2
44,44,2/10/2011,22-333,GSW,@,PHO,L (-24),1,24:49:00,5,9,0.556,2,3,0.667,0,0,,0,2,2,2,1,0,4,0,12,6.7,-26
45,45,2/13/2011,22-336,GSW,,OKC,W (+6),1,37:48:00,10,18,0.556,2,5,0.4,1,1,1,0,2,2,13,2,0,0,2,23,25.3,17
46,46,2/15/2011,22-338,GSW,,NOH,W (+13),1,24:21:00,5,5,1,3,3,1,1,1,1,0,0,0,8,1,0,3,3,14,14.9,13
47,47,2/16/2011,22-339,GSW,@,UTA,W (+7),1,21:30,1,7,0.143,0,3,0,2,2,1,0,0,0,4,2,0,1,5,4,1.3,-6
48,48,2/22/2011,22-345,GSW,,BOS,L (-22),1,30:03:00,7,10,0.7,1,2,0.5,3,5,0.6,0,4,4,2,1,0,5,4,18,10,-15
49,49,2/25/2011,22-348,GSW,,ATL,L (-16),1,30:00:00,2,7,0.286,0,2,0,3,3,1,1,1,2,5,0,0,3,1,7,4,-27
50,50,2/27/2011,22-350,GSW,@,MIN,L (-3),1,44:30:00,13,21,0.619,5,7,0.714,2,2,1,1,10,11,2,2,0,2,1,33,28.2,4
51,51,3/1/2011,22-352,GSW,@,IND,L (-9),1,34:53:00,7,17,0.412,4,8,0.5,2,2,1,1,5,6,7,0,1,5,5,20,11.7,-19
52,52,3/2/2011,22-353,GSW,@,WAS,W (+4),1,36:47:00,9,18,0.5,3,7,0.429,8,9,0.889,2,7,9,5,1,0,3,2,29,23.8,-8
53,53,3/4/2011,22-355,GSW,@,BOS,L (-4),1,31:30:00,4,11,0.364,1,4,0.25,0,0,,2,1,3,5,0,0,4,3,9,2.9,-8
54,54,3/6/2011,22-357,GSW,@,PHI,L (-8),1,35:12:00,8,16,0.5,1,3,0.333,5,5,1,0,1,1,7,0,2,4,3,22,15.4,6
55,55,3/8/2011,22-359,GSW,@,CLE,W (+10),1,39:12:00,10,18,0.556,2,5,0.4,1,1,1,4,3,7,6,2,1,3,3,23,20.8,20
56,56,3/9/2011,22-360,GSW,@,NJN,L (-4),1,30:17:00,6,15,0.4,2,4,0.5,1,1,1,0,3,3,3,2,0,3,3,15,7.7,-13
57,57,3/11/2011,22-362,GSW,,ORL,W (+3),1,39:49:00,8,19,0.421,4,10,0.4,2,2,1,0,4,4,12,3,0,5,4,22,17.9,1
58,58,3/13/2011,22-364,GSW,,MIN,W (+23),1,37:55:00,8,15,0.533,4,6,0.667,4,4,1,1,8,9,6,2,0,1,2,24,24.2,18
59,59,3/14/2011,23-000,GSW,@,SAC,L (-10),1,23:56,7,14,0.5,5,8,0.625,0,0,,0,3,3,1,1,1,3,1,19,11.9,-12
60,60,3/16/2011,23-002,GSW,,DAL,L (-6),1,32:14:00,4,10,0.4,2,4,0.5,0,1,0,0,0,0,5,1,0,3,2,10,4.9,-10
61,61,3/18/2011,23-004,GSW,@,PHO,L (-11),1,34:40:00,6,13,0.462,2,5,0.4,1,1,1,1,1,2,5,0,0,2,3,15,9.6,-18
62,62,3/20/2011,23-006,GSW,@,DAL,L (-28),1,31:02:00,4,12,0.333,1,3,0.333,2,3,0.667,1,5,6,6,0,0,2,4,11,6.6,-8
63,63,3/21/2011,23-007,GSW,@,SAS,L (-15),1,19:57,3,8,0.375,1,2,0.5,1,1,1,0,0,0,2,0,0,1,4,8,2.4,-12
64,64,3/23/2011,23-009,GSW,@,HOU,L (-19),1,29:58:00,7,16,0.438,2,3,0.667,0,0,,3,3,6,6,1,0,4,4,16,10.2,-14
65,65,3/25/2011,23-011,GSW,,TOR,W (+38),1,36:19:00,7,13,0.538,4,6,0.667,5,5,1,0,3,3,8,0,0,3,2,23,19.4,43
66,66,3/27/2011,23-013,GSW,,WAS,W (+10),1,28:17:00,3,11,0.273,1,4,0.25,3,3,1,1,4,5,4,1,1,5,5,10,2.9,11
67,67,3/29/2011,23-015,GSW,@,OKC,L (-1),1,48:31:00,13,23,0.565,5,8,0.625,4,4,1,1,5,6,5,2,0,6,3,35,24.6,6
68,68,3/30/2011,23-016,GSW,@,MEM,L (-19),1,31:05:00,2,14,0.143,1,6,0.167,1,1,1,4,2,6,9,1,0,6,4,6,0.1,-21
69,69,4/2/2011,23-019,GSW,,DAL,W (+7),1,31:31:00,3,8,0.375,1,3,0.333,5,5,1,0,4,4,8,2,0,3,5,12,11.4,9
70,70,4/5/2011,23-022,GSW,@,POR,W (+21),1,42:06:00,10,21,0.476,3,5,0.6,5,6,0.833,1,7,8,4,2,1,2,2,28,22.4,20
71,71,4/6/2011,23-023,GSW,,LAL,W (+8),1,42:05:00,8,23,0.348,2,6,0.333,2,2,1,2,4,6,5,2,0,2,3,20,12,2
72,72,4/10/2011,23-027,GSW,,SAC,L (-1),1,32:18:00,11,17,0.647,3,6,0.5,2,2,1,3,3,6,8,1,0,3,4,27,24.5,1
73,73,4/11/2011,23-028,GSW,@,DEN,L (-23),1,35:32:00,10,13,0.769,3,4,0.75,4,4,1,1,4,5,5,0,0,5,1,27,21.9,-8
74,74,4/13/2011,23-030,GSW,,POR,W (+24),1,24:09:00,7,11,0.636,2,4,0.5,2,2,1,0,3,3,9,0,0,1,4,18,17.7,16
